datetime,open,high,low,close,volume,EMA_fast,EMA_slow,ATR,ADX,DC_upper,DC_lower,trade_type,signals
2018-03-15 05:30:00,8184.01,8430.0,7650.0,8240.98,52291.022277,9594.1543435898,10207.435651137812,958.0937728579964,22.953568366836883,11710.0,7900.28,HOLD,0
2018-03-16 05:30:00,8240.98,8611.64,7900.0,8260.0,38815.409893,9467.092025152675,10131.065625602996,940.4899319395681,23.66867743107835,11710.0,7650.0,HOLD,0
2018-03-17 05:30:00,8260.0,8348.62,7721.99,7824.8,33110.206329,9310.68326085242,10040.623836363662,918.0713653724562,24.5018852956023,11710.0,7650.0,HOLD,0
2018-03-18 05:30:00,7824.01,8317.4,7322.0,8189.99,59488.231711,9203.950569342665,9968.049960427832,923.5948392744235,25.639394272846545,11710.0,7650.0,HOLD,0
2018-03-19 05:30:00,8189.0,8705.23,8088.4,8600.0,55297.084942,9146.431467500506,9914.40094237184,901.6830650405361,25.933389134905397,11710.0,7322.0,HOLD,0
2018-03-20 05:30:00,8595.01,9050.0,8280.0,8909.98,44865.105835,9123.912280119504,9875.011885808239,892.277131823355,25.5778162319269,11710.0,7322.0,HOLD,0
2018-03-21 05:30:00,8909.96,9177.01,8750.6,8885.0,39972.405371,9101.158729631934,9836.187890286346,859.0009081216868,25.021273522207878,11710.0,7322.0,HOLD,0
2018-03-22 05:30:00,8884.82,9100.0,8465.1,8722.9,40617.556809,9065.134088714607,9792.529541647667,842.9937003987093,24.854735099046643,11710.0,7322.0,HOLD,0
2018-03-23 05:30:00,8720.0,8909.0,8269.0,8898.03,39991.007666,9049.21941359893,9757.451128249719,828.49415037023,24.933426610536277,11710.0,7322.0,HOLD,0
2018-03-24 05:30:00,8898.04,8999.95,8491.0,8546.86,35466.609572,9001.375659922842,9709.976966357573,805.669568200928,24.820545109558058,11710.0,7322.0,HOLD,0
2018-03-25 05:30:00,8531.25,8669.85,8365.77,8470.15,29001.769316,8950.78273993019,9661.356301010219,769.8417419008617,24.878527080945158,11710.0,7322.0,HOLD,0
2018-03-26 05:30:00,8470.14,8514.89,7831.0,8134.23,44033.59566,8873.01581231779,9601.46899508825,763.7023317650859,25.57140040407084,11455.0,7322.0,HOLD,0
2018-03-27 05:30:00,8134.22,8215.94,7730.0,7795.51,37427.64805,8770.396211144667,9530.64707371224,743.862165210437,26.32639148854775,10899.0,7322.0,HOLD,0
2018-03-28 05:30:00,7795.51,8109.0,7728.0,7949.3,26401.33167,8692.196571988032,9468.633462978427,717.9434391239771,27.029776689060853,10099.0,7322.0,HOLD,0
2018-03-29 05:30:00,7949.3,7975.0,6941.11,7090.14,54620.915125,8539.619755608219,9375.359209528293,740.5110506151217,28.491817017877132,9888.88,7322.0,HOLD,0
2018-03-30 05:30:00,7090.16,7292.43,6600.1,6840.23,65306.031976,8377.773112216959,9275.942377782087,737.0695469997559,30.13620953898011,9888.88,6941.11,HOLD,0
2018-03-31 05:30:00,6840.24,7223.36,6777.0,6923.91,36868.539087,8239.309958672486,9183.705813947494,716.3045793569162,31.663145451432882,9888.88,6600.1,HOLD,0
2018-04-01 05:30:00,6922.0,7049.98,6430.0,6813.01,44071.430463,8103.471867370345,9090.737350655436,709.4242522599936,33.36770283815807,9888.88,6600.1,HOLD,0
2018-04-02 05:30:00,6813.01,7125.0,6765.0,7056.0,32123.560072,8003.7126419065025,9010.943729061104,684.4653770985655,34.740450208664875,9474.0,6430.0,HOLD,0
2018-04-03 05:30:00,7063.97,7520.0,7011.01,7405.21,37787.331811,7946.712390296359,8947.973778901844,671.931421591525,34.95974548249432,9333.78,6430.0,HOLD,0
2018-04-04 05:30:00,7405.21,7427.52,6707.0,6796.1,42227.183804,7837.130257887183,8863.586571886086,675.4020343349875,35.49341531479339,9177.01,6430.0,HOLD,0
2018-04-05 05:30:00,6796.1,6902.0,6566.69,6770.76,39029.73146,7735.571185707451,8781.514941616044,651.1097461682027,36.13541018980677,9177.01,6430.0,HOLD,0
2018-04-06 05:30:00,6770.0,6850.0,6500.0,6601.39,27455.01192,7627.553929925789,8696.019845866394,629.6019071561883,36.80254445560221,9177.01,6430.0,HOLD,0
